"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","28801","NC","""Asheville, NC""",7369,117,11.2359550561798,94.5,6.5,6.5379113018598
"Zip","28711","NC","""Asheville, NC""",7674,117,12.9032258064516,113,9.5,6.5379113018598
"Zip","28791","NC","""Asheville, NC""",7813,117,13.8211382113821,72,4.5,6.5379113018598
"Zip","28748","NC","""Asheville, NC""",8070,117,15.0684931506849,178,10,6.5379113018598
"Zip","28721","NC","""Asheville, NC""",8316,117,5.37634408602151,97,1.5,6.5379113018598
"Zip","28730","NC","""Asheville, NC""",8516,117,10.7692307692308,103,8.5,6.5379113018598
"Zip","28785","NC","""Asheville, NC""",8694,117,8.7719298245614,156,8,6.5379113018598
"Zip","28751","NC","""Asheville, NC""",8867,117,5.63380281690141,108.5,5,6.5379113018598
"Zip","30349","GA","""Atlanta-Sandy Springs-Roswell, GA""",1238,9,8.17120622568093,77.5,4.26573426573427,2.8898426323319
"Zip","30044","GA","""Atlanta-Sandy Springs-Roswell, GA""",1291,9,8.47457627118644,57,0.699300699300699,2.8898426323319
"Zip","30043","GA","""Atlanta-Sandy Springs-Roswell, GA""",1317,9,11.8881118881119,63,4.68531468531468,2.8898426323319
"Zip","30096","GA","""Atlanta-Sandy Springs-Roswell, GA""",1386,9,14.3478260869565,59,5.31468531468532,2.8898426323319
"Zip","30024","GA","""Atlanta-Sandy Springs-Roswell, GA""",1438,9,12.7465857359636,72,7.62237762237762,2.8898426323319
"Zip","30281","GA","""Atlanta-Sandy Springs-Roswell, GA""",1500,9,11.484593837535,80.5,8.04195804195804,2.8898426323319
"Zip","30040","GA","""Atlanta-Sandy Springs-Roswell, GA""",1653,9,11.7942283563363,70,6.5034965034965,2.8898426323319
"Zip","30188","GA","""Atlanta-Sandy Springs-Roswell, GA""",1654,9,10.1659751037344,62,3.07692307692308,2.8898426323319
"Zip","30318","GA","""Atlanta-Sandy Springs-Roswell, GA""",1710,9,8.08080808080808,55,0.41958041958042,2.8898426323319
"Zip","30080","GA","""Atlanta-Sandy Springs-Roswell, GA""",1714,9,14.2528735632184,66,7.27272727272727,2.8898426323319
"Zip","30062","GA","""Atlanta-Sandy Springs-Roswell, GA""",1731,9,19.327731092437,75,9.37062937062937,2.8898426323319
"Zip","30052","GA","""Atlanta-Sandy Springs-Roswell, GA""",1733,9,13.2686084142395,70,7.55244755244755,2.8898426323319
"Zip","30041","GA","""Atlanta-Sandy Springs-Roswell, GA""",1735,9,13.781512605042,87,9.3006993006993,2.8898426323319
"Zip","30331","GA","""Atlanta-Sandy Springs-Roswell, GA""",1740,9,7.46753246753247,75,3.56643356643357,2.8898426323319
"Zip","30022","GA","""Atlanta-Sandy Springs-Roswell, GA""",1785,9,13.659793814433,68.5,7.41258741258741,2.8898426323319
"Zip","30127","GA","""Atlanta-Sandy Springs-Roswell, GA""",1855,9,12.9032258064516,59,4.1958041958042,2.8898426323319
"Zip","30004","GA","""Atlanta-Sandy Springs-Roswell, GA""",1870,9,10.5263157894737,66,4.61538461538461,2.8898426323319
"Zip","30135","GA","""Atlanta-Sandy Springs-Roswell, GA""",1899,9,10.4627766599598,73.5,6.15384615384615,2.8898426323319
"Zip","30253","GA","""Atlanta-Sandy Springs-Roswell, GA""",2025,9,6.97674418604651,78,3.63636363636364,2.8898426323319
"Zip","30066","GA","""Atlanta-Sandy Springs-Roswell, GA""",2066,9,11.7283950617284,63,4.54545454545455,2.8898426323319
"Zip","30263","GA","""Atlanta-Sandy Springs-Roswell, GA""",2107,9,8.9171974522293,75,4.96503496503496,2.8898426323319
"Zip","30058","GA","""Atlanta-Sandy Springs-Roswell, GA""",2137,9,7.21003134796238,82.5,3.98601398601399,2.8898426323319
"Zip","30047","GA","""Atlanta-Sandy Springs-Roswell, GA""",2138,9,13.953488372093,61,5.52447552447552,2.8898426323319
"Zip","30101","GA","""Atlanta-Sandy Springs-Roswell, GA""",2140,9,8.7719298245614,64,2.51748251748252,2.8898426323319
"Zip","30083","GA","""Atlanta-Sandy Springs-Roswell, GA""",2178,9,5.85585585585586,74,2.30769230769231,2.8898426323319
