"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"08757","NJ","New York","Ocean","Berkeley",1122,1481,0.002708192281652,0.0109215017064846,0.0693140794223827,17745
2018-02-28,"94550","CA","San Francisco","Alameda","Livermore",1123,3312,-0.000301841231512225,0.000604229607250755,0.0494296577946768,14326
2018-02-28,"85260","AZ","Phoenix","Maricopa","Scottsdale",1124,2531,0,-0.00197160883280757,-0.00236499802916831,9607
2018-02-28,"32940","FL","Melbourne","Brevard","Rockledge",1125,1792,0.00504767246214246,0.0101465614430665,0.0281124497991968,13690
2018-02-28,"93291","CA","Visalia","Tulare","Visalia",1126,1351,0.00520833333333333,0.0142642642642643,0.0165537998495109,13562
2018-02-28,"85018","AZ","Phoenix","Maricopa","Phoenix",1127,2690,0.00862392200974878,0.0105184072126221,-0.0139296187683284,9751
2018-02-28,"98501","WA","Olympia","Thurston","Olympia",1128,1715,0.00116754232340922,-0.00290697674418605,0.0745614035087719,13366
2018-02-28,"91601","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1129,3073,0.00162972620599739,0.0131882624464227,0.027072192513369,3196
2018-02-28,"52402","IA","Cedar Rapids","Linn","Cedar Rapids",1130,1145,0.00526777875329236,0.0141718334809566,0.0306030603060306,14174
2018-02-28,"10022","NY","New York","New York","New York",1131,4020,-0.0211833455076698,-0.0690134321445113,-0.0675017397355602,741
2018-02-28,"70508","LA","Lafayette","Lafayette","Lafayette",1132,1439,-0.00484094052558783,-0.0190865712338105,-0.0576293385723641,12017
2018-02-28,"77511","TX","Houston","Brazoria","Alvin",1133,1545,-0.00129282482223659,-0.00129282482223659,0.0306871247498332,10969
2018-02-28,"37209","TN","Nashville","Davidson","Nashville",1134,1660,0.00181050090525045,0.00728155339805825,0.0278637770897833,8340
2018-02-28,"48843","MI","Detroit","Livingston","Howell",1135,1569,-0.00127307447485678,-0.00570342205323194,0.012258064516129,13012
2018-02-28,"98118","WA","Seattle","King","Seattle",1136,2387,-0.00541666666666667,-0.0115942028985507,0.0227077977720651,11329
2018-02-28,"32703","FL","Orlando","Orange","Apopka",1137,1356,0.00967982129560685,0.0157303370786517,0.0157303370786517,12995
2018-02-28,"29687","SC","Greenville","Greenville","Taylors",1138,1313,-0.00830815709969789,-0.0157421289355322,0.0170410534469404,12985
2018-02-28,"32514","FL","Pensacola","Escambia","Pensacola",1139,1100,0.0128913443830571,0.0251630941286114,0.0486177311725453,11302
2018-02-28,"85044","AZ","Phoenix","Maricopa","Phoenix",1140,1514,0.00198544010589014,0.00664893617021277,0.0236646382691007,11130
2018-02-28,"53703","WI","Madison","Dane","Madison",1141,1572,0.00769230769230769,-0.0284301606922126,-0.096551724137931,2902
2018-02-28,"84043","UT","Provo","Utah","Lehi",1142,1630,0.00617283950617284,0.00741656365883807,0.014312383322962,14136
2018-02-28,"60506","IL","Chicago","Kane","Aurora",1143,1561,-0.00255591054313099,-0.00951776649746193,0.0116655865197667,13732
2018-02-28,"94577","CA","San Francisco","Alameda","San Leandro",1144,2910,0.000343760742523204,0.00241129865656218,0.0355871886120996,10116
2018-02-28,"95206","CA","Stockton","San Joaquin","Stockton",1145,1444,0.000693000693000693,0.00487125956854558,0.0720118782479584,14967
2018-02-28,"43204","OH","Columbus","Franklin","Columbus",1146,968,0.004149377593361,0.00938477580813347,0.0397422126745435,11762
2018-02-28,"65201","MO","Columbia","Boone","Columbia",1147,1160,-0.000861326442721792,0.00781928757602085,-0.00257953568357696,5424
2018-02-28,"14224","NY","Buffalo","Erie","West Seneca",1148,1264,0.0120096076861489,0.00317460317460317,-0.0510510510510511,12850
2018-02-28,"21401","MD","Baltimore","Anne Arundel","Annapolis",1149,2267,-0.000881445570736007,-0.000440917107583774,-0.0160590277777778,11953
2018-02-28,"30309","GA","Atlanta","Fulton","Atlanta",1150,3978,-0.00325732899022801,-0.0129032258064516,-0.0430598989656002,2286
2018-02-28,"08081","NJ","Philadelphia","Camden","Winslow",1151,1688,0.00178041543026706,0.00237529691211401,0.0029708853238265,16936
2018-02-28,"97006","OR","Portland","Washington","Beaverton",1152,1929,-0.00258531540847983,-0.00103573278094252,0.0277037826318593,8703
2018-02-28,"42240","KY","Clarksville","Christian","Hopkinsville",1153,875,0.00229095074455899,0.0139049826187717,0.0233918128654971,10925
2018-02-28,"78665","TX","Austin","Williamson","Round Rock",1154,1662,0.0036231884057971,0.00180831826401447,-0.002999400119976,12142
