GEO.id,GEO.id2,GEO.display-label,HC01_VC04,HC01_VC05,HC03_VC49,HC03_VC50,HC03_VC56
Id,Id2,Geography,Estimate; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - Asian
8600000US98278,98278,ZCTA5 98278,1190,438,77.6,14.7,1.8
8600000US98279,98279,ZCTA5 98279,293,269,95,0.7,0.7
8600000US98280,98280,ZCTA5 98280,176,280,92.3,0,6.6
8600000US98281,98281,ZCTA5 98281,528,675,89.9,2,3.5
8600000US98282,98282,ZCTA5 98282,8027,7941,94.4,0.2,1.3
8600000US98283,98283,ZCTA5 98283,170,158,95.4,0,0
8600000US98284,98284,ZCTA5 98284,13016,12924,88.5,1.1,0.6
8600000US98286,98286,ZCTA5 98286,100,99,98,0.5,1.5
8600000US98288,98288,ZCTA5 98288,80,75,91.6,5.2,1.3
8600000US98290,98290,ZCTA5 98290,16905,17313,92.3,0.3,1.8
8600000US98292,98292,ZCTA5 98292,10868,10898,92.9,1.1,0.9
8600000US98294,98294,ZCTA5 98294,3535,3124,90.4,0,2.1
8600000US98295,98295,ZCTA5 98295,1370,1357,85.2,0.8,1.1
8600000US98296,98296,ZCTA5 98296,14939,14185,85.3,0.7,8.7
8600000US98297,98297,ZCTA5 98297,42,22,100,0,0
8600000US98303,98303,ZCTA5 98303,587,563,94,0,3.4
8600000US98304,98304,ZCTA5 98304,328,274,99.8,0.2,0
8600000US98305,98305,ZCTA5 98305,126,202,94.5,0,0
8600000US98310,98310,ZCTA5 98310,10444,10055,73.5,4,5.7
8600000US98311,98311,ZCTA5 98311,14359,13391,71.6,4.6,10.1
8600000US98312,98312,ZCTA5 98312,15830,15694,80.6,2.7,3.7
8600000US98314,98314,ZCTA5 98314,2268,253,70.1,15.1,4.4
8600000US98315,98315,ZCTA5 98315,4116,1930,77.6,2.7,4
8600000US98320,98320,ZCTA5 98320,638,573,92.2,0,0.2
8600000US98321,98321,ZCTA5 98321,7621,7523,93,0.6,0.9
8600000US98323,98323,ZCTA5 98323,404,356,97.2,1.3,0
8600000US98325,98325,ZCTA5 98325,859,766,90.2,0.1,1.7
8600000US98326,98326,ZCTA5 98326,427,252,77,7.2,2.4
8600000US98327,98327,ZCTA5 98327,4736,4549,71.5,11,7.3
8600000US98328,98328,ZCTA5 98328,4635,4665,92.4,0.5,1.2
8600000US98329,98329,ZCTA5 98329,5781,4901,87.4,0.9,2.4
8600000US98330,98330,ZCTA5 98330,65,39,100,0,0
8600000US98331,98331,ZCTA5 98331,3580,2802,79.6,3.1,0.7
8600000US98332,98332,ZCTA5 98332,7709,9499,86.7,1.6,4.1
8600000US98333,98333,ZCTA5 98333,1815,2014,91.6,0.8,1.8
8600000US98335,98335,ZCTA5 98335,12550,13280,91.5,1.2,2.5
8600000US98336,98336,ZCTA5 98336,458,417,94.5,0,0
8600000US98337,98337,ZCTA5 98337,3626,3139,74.4,6.6,3.7
8600000US98338,98338,ZCTA5 98338,13455,13401,86.4,1.8,1.9
8600000US98339,98339,ZCTA5 98339,1626,1571,88.1,0.4,0.3
8600000US98340,98340,ZCTA5 98340,1394,1732,86.2,0.7,4.2
8600000US98342,98342,ZCTA5 98342,646,776,92.5,0.4,0.6
8600000US98345,98345,ZCTA5 98345,181,261,96.8,0,0
8600000US98346,98346,ZCTA5 98346,5006,5010,81,0,1.8
8600000US98349,98349,ZCTA5 98349,2106,2403,95,1.3,0.6
8600000US98350,98350,ZCTA5 98350,228,205,8.3,0,0
8600000US98351,98351,ZCTA5 98351,460,480,85.1,0,0
8600000US98353,98353,ZCTA5 98353,15,14,100,0,0
8600000US98354,98354,ZCTA5 98354,3250,3878,89.3,2.7,2.6
8600000US98355,98355,ZCTA5 98355,360,278,97.3,0,0
8600000US98356,98356,ZCTA5 98356,1053,1120,93.5,0,0.2
8600000US98357,98357,ZCTA5 98357,793,815,10,0.2,0
8600000US98358,98358,ZCTA5 98358,530,622,96.4,0,0.3
8600000US98359,98359,ZCTA5 98359,2433,2046,94.1,0.4,0.4
8600000US98360,98360,ZCTA5 98360,6170,6774,90.9,2.3,1.3
8600000US98361,98361,ZCTA5 98361,529,453,97,0.6,0
8600000US98362,98362,ZCTA5 98362,11417,11609,89.8,1.9,2.1
8600000US98363,98363,ZCTA5 98363,7091,7119,89.1,0.2,1.1
8600000US98364,98364,ZCTA5 98364,54,83,100,0,0
8600000US98365,98365,ZCTA5 98365,2273,2228,95.2,0,1.8
8600000US98366,98366,ZCTA5 98366,16852,16064,84.7,2,3.5
8600000US98367,98367,ZCTA5 98367,14213,14307,86.9,1.3,3.5
8600000US98368,98368,ZCTA5 98368,7137,8341,93.3,1.2,2.2
8600000US98370,98370,ZCTA5 98370,14087,15393,87.3,0.7,3
8600000US98371,98371,ZCTA5 98371,10513,9896,87.3,1.8,2.6
8600000US98372,98372,ZCTA5 98372,12433,12416,83.6,1.7,4.1
8600000US98373,98373,ZCTA5 98373,11396,11489,79.3,5.2,5.8
8600000US98374,98374,ZCTA5 98374,19435,19492,81.7,2.4,4.3
8600000US98375,98375,ZCTA5 98375,15266,14466,70.1,6.5,7.5
8600000US98376,98376,ZCTA5 98376,826,842,90,0.1,0
8600000US98377,98377,ZCTA5 98377,835,855,96.6,0,0
8600000US98380,98380,ZCTA5 98380,2356,2479,89.6,0.9,6.1
8600000US98381,98381,ZCTA5 98381,184,166,92.9,0,0
8600000US98382,98382,ZCTA5 98382,13213,14241,93,0.5,1.6
8600000US98383,98383,ZCTA5 98383,10544,9775,75.6,3.7,8.5
8600000US98385,98385,ZCTA5 98385,126,177,87.1,0,0.3
8600000US98387,98387,ZCTA5 98387,22467,22961,74.9,8.8,3.9
8600000US98388,98388,ZCTA5 98388,3500,3056,74.2,5.5,9
8600000US98390,98390,ZCTA5 98390,5174,5648,84.3,0.9,2.3
8600000US98391,98391,ZCTA5 98391,24495,24366,89.4,0.8,2.1
8600000US98392,98392,ZCTA5 98392,1497,1589,74.8,0.7,2.9
8600000US98394,98394,ZCTA5 98394,663,556,94.6,0,0
8600000US98396,98396,ZCTA5 98396,339,250,98.3,0.2,0
8600000US98402,98402,ZCTA5 98402,3532,2491,66,13.2,8.7
8600000US98403,98403,ZCTA5 98403,3788,3970,88.1,1.8,4.9
8600000US98404,98404,ZCTA5 98404,16749,17370,43.6,13.5,14.1
8600000US98405,98405,ZCTA5 98405,11927,12198,68,14.5,5.2
8600000US98406,98406,ZCTA5 98406,10705,12329,84,4.8,3.6
8600000US98407,98407,ZCTA5 98407,10581,10766,85.3,3.8,3.9
